22

4 6
2 3 5 8 9 6 
2 3 5 8 9 6 
2 3 5 8 9 6 
2 3 5 8 9 6 


6 5
2 1 5 8 4 
4 8 5 1 2 
2 1 5 8 4 
4 8 5 1 2 
2 1 5 8 4 
4 8 5 1 2 

3 4
0 0 1 0
1 1 0 1
0 1 1 0

3 2
0 1
0 0
1 1

3 5
0 0 1 0 1
1 1 0 1 1
0 1 1 0 1

2 2
0 1
0 0

3 2
0 1
0 0
1 1

3 4
0 0 1 0
1 1 0 1
0 1 1 1

3 2
0 1
0 0
1 1

3 5
0 0 1 0 1
1 1 0 1 1
0 1 1 0 1

2 2
0 1
0 0

3 2
0 1
0 0
1 1

3 4
0 0 1 0
1 1 0 1
0 1 1 0

3 2
0 1
0 0
1 1

3 5
0 0 1 0 1
1 1 0 1 1
0 1 1 0 1

2 2
0 1
0 0

3 2
0 1
0 0
1 1

3 4
0 0 1 0
1 1 0 1
0 1 1 0

3 2
0 1
0 0
1 1

3 5
0 0 1 0 1
1 1 0 1 1
0 1 1 0 1

2 2
0 1
0 0

3 2
0 1
0 0
1 1

